Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
宵,宀,91.5309,['宀'],[111962]
寇,宀,23.0469,['宀'],[113345]
寰,宀,1.9654,['宀'],[118082]
宦,宀,0.3852,['宀'],[119170]
寥,宀,3.363,['宀'],[119478]
宕,宀,1.6889,['宀'],[119969]
寐,宀,3.6593,['宀'],[121065]
定,宀,1269.8667,['宀'],[22382]
密,宀,244.2469,['宀'],[27641]
容,宀,475.8667,['宀'],[36629]
实,宀,1113.1802,['宀'],[39973]
家,宀,4086.3062,['宀'],[45629]
完,宀,1007.679,['宀'],[46306]
安,宀,1186.3111,['宀'],[50285]
客,宀,685.6593,['宀'],[64754]
宋,宀,26.5037,['宀'],[73038]
审,宀,52.2716,['宀'],[75223]
宝,宀,613.9556,['宀'],[99388]
察,宀,137.3235,['宀'],[99400]
官,宀,220.0494,['宀'],[99412]
富,宀,188.6914,['宀'],[99415]
害,宀,347.3877,['宀'],[99441]
室,宀,216.1136,['宀'],[99478]
宁,宀,127.6593,['宀'],[99503]
宣,宀,62.3111,['宀'],[99576]
它,宀,613.2938,['宀'],[99652]
守,宀,126.8247,['宀'],[99821]
宜,宀,95.2593,['宀'],[99841]
宽,宀,70.9235,['宀'],[99845]
宫,宀,101.2049,['宀'],[99921]
宾,宀,47.5605,['宀'],[99991]
贷,贝,11.8765,"['貝', '贝']",[100055]
贯,贝,11.8222,"['貝', '贝']",[100116]
贝,贝,247.3975,"['貝', '贝']",[100458]
赏,贝,72.2667,"['貝', '贝']",[100541]
赔,贝,14.8494,"['貝', '贝']",[100551]
赖,贝,92.3951,"['貝', '贝']",[100921]
赋,贝,16.3556,"['貝', '贝']",[100970]
贿,贝,5.7827,"['貝', '贝']",[101020]
贡,贝,14.3111,"['貝', '贝']",[101155]
赁,贝,1.5654,"['貝', '贝']",[101331]
赌,贝,57.4272,"['貝', '贝']",[101501]
赠,贝,38.4099,"['貝', '贝']",[101568]
贺,贝,92.6963,"['貝', '贝']",[102103]
赚,贝,74.0444,"['貝', '贝']",[102223]
贪,贝,38.3852,"['貝', '贝']",[102746]
贩,贝,24.8148,"['貝', '贝']",[103173]
贬,贝,5.2938,"['貝', '贝']",[103666]
赎,贝,8.3309,"['貝', '贝']",[103815]
赂,贝,3.2099,"['貝', '贝']",[103817]
贤,贝,35.0914,"['貝', '贝']",[104591]
贾,贝,10.5975,"['貝', '贝']",[104780]
贼,贝,37.2543,"['貝', '贝']",[106296]
赐,贝,29.1852,"['貝', '贝']",[107059]
贞,贝,14.716,"['貝', '贝']",[108369]
贱,贝,76.7111,"['貝', '贝']",[110389]
贮,贝,0.7901,"['貝', '贝']",[115947]
赘,贝,4.0049,"['貝', '贝']",[116799]
