Character,Radical,CharFreq,Radicals
条,木,359.4123,['木']
糕,米,122.0444,['米']
兀,儿,1.1802,['儿']
扬,扌,50.8444,"['扌', '手']"
腾,月,120.0049,['月']
气,气,1064.2914,['气']
尽,尸,268.6469,['尸']
外,夕,741.437,['夕']
茧,艹,2.8741,['艹']
摇,扌,68.9531,"['扌', '手']"
降,阝,131.1605,"['邑', '阜', '阝']"
贩,贝,24.8148,"['貝', '贝']"
嚼,口,10.321,"['囗', '口']"
狂,犭,208.0049,"['犬', '犭']"
还,辶,3703.8222,['辶']
格,木,346.7704,['木']
恫,忄,0.0691,"['心', '忄']"
粮,米,21.042,['米']
奶,女,244.1432,['女']
挚,手,16.0444,"['扌', '手']"
迎,辶,245.5309,['辶']
良,艮,120.4741,['艮']
制,刂,359.9901,"['刂', '刀']"
士,士,334.2568,['士']
朝,月,95.5901,['月']
名,口,1189.4914,"['囗', '口']"
珍,王,133.358,"['王', '玉']"
说,讠,3565.9309,"['讠', '言']"
