Character,Radical,CharFreq,Radicals
激,氵,235.9012,"['氺', '水', '氵']"
枪,木,154.7062,['木']
言,言,373.5309,"['讠', '言']"
房,戶,457.1852,['戶']
哪,口,687.0173,"['囗', '口']"
雨,雨,388.3753,['雨']
广,广,289.8321,['广']
施,方,60.4938,['方']
柩,木,0.2025,['木']
滞,氵,6.9136,"['氺', '水', '氵']"
瘫,疒,7.2938,['疒']
葱,艹,40.7309,['艹']
钓,钅,15.5111,"['钅', '金']"
窥,穴,6.4099,['穴']
部,阝,702.1037,"['邑', '阜', '阝']"
足,足,252.6519,['足']
乐,丿,1581.5407,"['丿', '乀', '乁']"
重,里,899.0123,['里']
坏,土,203.1654,['土']
枕,木,28.1284,['木']
自,自,3079.6642,['自']
劳,力,109.2395,['力']
战,戈,721.5358,['戈']
锚,钅,1.7136,"['钅', '金']"
会,人,4272.8,"['人', '亻']"
揭,扌,31.7679,"['扌', '手']"
荣,艹,76.1827,['艹']
边,辶,817.1309,['辶']
钢,钅,41.8617,"['钅', '金']"
娼,女,1.4272,['女']
起,走,3212.4494,['走']
律,彳,126.7654,['彳']
口,口,581.5012,"['囗', '口']"
录,彐,339.037,"['彐', '彑']"
威,女,138.0198,['女']
夜,夕,1069.8815,['夕']
皮,皮,321.7481,['皮']
末,木,125.1309,['木']
月,月,716.8346,['月']
词,讠,127.6494,"['讠', '言']"
疯,疒,237.7679,['疒']
回,囗,2091.279,"['囗', '口']"
行,行,1328.2914,['行']
总,心,655.1407,"['心', '忄']"
缠,纟,29.6494,"['糸', '纟']"
端,立,417.3333,['立']
肥,月,142.1679,['月']
芋,艹,7.8074,['艹']
加,力,1169.5901,['力']
红,纟,687.8173,"['糸', '纟']"
杯,木,237.763,['木']
吐,口,98.8889,"['囗', '口']"
三,一,1715.037,['一']
矿,石,20.2321,['石']
囚,囗,8.6321,"['囗', '口']"
省,目,101.9654,['目']
疆,田,12.163,['田']
筛,⺮,6.6667,"['⺮', '竹']"
亡,亠,72.7654,['亠']
唇,口,27.5407,"['囗', '口']"
少,小,727.5457,['小']
插,扌,59.9951,"['扌', '手']"
巡,巛,19.8815,"['巛', '巜', '川']"
显,日,172.1481,['日']
登,癶,263.3926,['癶']
认,讠,560.316,"['讠', '言']"
叮,口,14.0988,"['囗', '口']"
包,勹,667.2148,['勹']
帮,巾,752.5235,['巾']
京,亠,230.6469,['亠']
拜,手,648.484,"['扌', '手']"
镇,钅,82.6568,"['钅', '金']"
焊,火,1.7877,"['火', '灬']"
骨,骨,97.7185,['骨']
麦,麦,108.6617,"['麥', '麦']"
缉,纟,13.284,"['糸', '纟']"
吝,口,5.1012,"['囗', '口']"
儒,亻,8.6864,"['人', '亻']"
卜,卜,53.284,['卜']
无,无,1728.5086,"['旡', '无']"
立,立,268.1926,['立']
杀,木,413.3679,['木']
胶,月,34.4395,['月']
直,目,790.8642,['目']
穷,穴,57.3383,['穴']
嘶,口,3.5556,"['囗', '口']"
禁,示,72.0296,"['礻', '示']"
查,木,397.3531,['木']
渎,氵,2.4642,"['氺', '水', '氵']"
封,寸,109.6049,['寸']
脱,月,121.9062,['月']
好,女,7331.8765,['女']
靶,革,2.3407,['革']
议,讠,157.4321,"['讠', '言']"
域,土,34.3111,['土']
灵,火,212.8346,"['火', '灬']"
交,亠,405.7926,['亠']
剑,刂,110.4938,"['刂', '刀']"
厌,厂,177.516,['厂']
促,亻,77.8815,"['人', '亻']"
黄,黃,244.7062,['黃']
谢,讠,960.8543,"['讠', '言']"
越,走,533.1753,['走']
拼,扌,103.0815,"['扌', '手']"
遨,辶,0.8296,['辶']
烤,火,72.6617,"['火', '灬']"
人,人,8774.3259,"['人', '亻']"
椿,木,0.7062,['木']
片,片,1065.6247,['片']
措,扌,21.6395,"['扌', '手']"
贱,贝,76.7111,"['貝', '贝']"
覆,覀,25.3037,['覀']
鹿,鹿,27.7877,['鹿']
教,攵,331.5062,"['攴', '攵']"
艳,色,61.7481,['色']
跟,足,861.6049,['足']
旧,日,121.5802,['日']
点,灬,2556.3951,"['火', '灬']"
下,一,4449.8815,['一']
绅,纟,10.484,"['糸', '纟']"
过,辶,4522.7704,['辶']
私,禾,123.5951,['禾']
应,广,669.0123,['广']
终,纟,677.5012,"['糸', '纟']"
当,彐,1142.9679,"['彐', '彑']"
哆,口,9.763,"['囗', '口']"
胜,月,188.2815,['月']
使,亻,389.0963,"['人', '亻']"
琴,王,61.516,"['王', '玉']"
捆,扌,5.0222,"['扌', '手']"
集,隹,263.29880000000003,['隹']
疾,疒,26.7012,['疒']
拧,扌,5.0519,"['扌', '手']"
汇,氵,56.5284,"['氺', '水', '氵']"
任,亻,580.0741,"['人', '亻']"
狩,犭,2.4938,"['犬', '犭']"
坚,土,251.1457,['土']
访,讠,85.6,"['讠', '言']"
扁,戶,16.0741,['戶']
复,夂,378.0642,['夂']
励,力,171.6741,['力']
烟,火,216.8938,"['火', '灬']"
迷,辶,227.8963,['辶']
编,纟,68.1037,"['糸', '纟']"
眼,目,722.3506,['目']
友,又,1370.1432,['又']
抽,扌,276.2716,"['扌', '手']"
可,口,3324.5926,"['囗', '口']"
仙,亻,77.2198,"['人', '亻']"
俱,亻,45.8914,"['人', '亻']"
己,己,1767.8667,['己']
首,首,322.8296,['首']
长,长,1007.6741,"['長', '长']"
青,青,297.684,['青']
性,忄,554.5531,"['心', '忄']"
柄,木,5.8123,['木']
松,木,203.7531,['木']
奇,大,364.3506,['大']
苦,艹,367.7679,['艹']
网,网,542.0642,"['罒', '网']"
黏,黍,7.1012,['黍']
动,力,1375.5852,['力']
另,口,191.2988,"['囗', '口']"
市,巾,774.4444,['巾']
寻,寸,439.8963,['寸']
铁,钅,195.1309,"['钅', '金']"
捉,扌,24.6321,"['扌', '手']"
雕,隹,40.084,['隹']
数,攵,411.0074,"['攴', '攵']"
定,宀,1269.8667,['宀']
多,夕,2942.1086,['夕']
听,口,929.1309,"['囗', '口']"
勾,勹,27.7235,['勹']
糖,米,142.5333,['米']
乡,乙,122.9037,"['乙', '乚', '乛']"
踹,足,3.8519,['足']
悔,忄,81.1457,"['心', '忄']"
发,又,2698.6321,['又']
指,扌,342.2716,"['扌', '手']"
补,衤,152.1926,"['衣', '衤']"
轨,车,23.3481,"['车', '車']"
胭,月,1.2889,['月']
旬,日,3.3531,['日']
赶,走,313.3037,['走']
掩,扌,31.5309,"['扌', '手']"
偏,亻,60.5975,"['人', '亻']"
木,木,541.6395,['木']
嘉,口,54.8346,"['囗', '口']"
穆,禾,14.2765,['禾']
练,纟,141.2148,"['糸', '纟']"
糨,米,0.1235,['米']
票,示,811.5753,"['礻', '示']"
莴,艹,1.5407,['艹']
版,片,821.6148,['片']
西,覀,944.563,['覀']
突,穴,308.9185,['穴']
尝,小,67.2,['小']
钳,钅,2.4395,"['钅', '金']"
乒,丿,3.8272,"['丿', '乀', '乁']"
摒,扌,1.5062,"['扌', '手']"
煞,灬,6.7012,"['火', '灬']"
冠,冖,96.8,['冖']
剧,刂,226.9728,"['刂', '刀']"
资,贝,240.721,"['貝', '贝']"
损,扌,45.3728,"['扌', '手']"
蚀,虫,6.1037,['虫']
举,丶,176.0296,['丶']
千,十,287.29880000000003,['十']
仪,亻,42.3951,"['人', '亻']"
样,木,2035.042,['木']
留,田,331.5605,['田']
钟,钅,377.3037,"['钅', '金']"
弟,弓,268.5284,['弓']
寒,宀,205.3531,['宀']
掮,扌,0.3407,"['扌', '手']"
搏,扌,23.4963,"['扌', '手']"
琐,王,16.158,"['王', '玉']"
洪,氵,22.7704,"['氺', '水', '氵']"
吞,口,23.0025,"['囗', '口']"
领,页,408.5926,"['頁', '页']"
单,十,559.6691,['十']
肚,月,126.9333,['月']
瑟,王,39.8025,"['王', '玉']"
走,走,1060.6222,['走']
贤,贝,35.0914,"['貝', '贝']"
明,日,1497.1012,['日']
驳,马,7.4469,"['馬', '马']"
酸,酉,119.5852,['酉']
洼,氵,1.0222,"['氺', '水', '氵']"
平,干,585.0321,['干']
贪,贝,38.3852,"['貝', '贝']"
夹,大,46.1333,['大']
卡,卜,331.8074,['卜']
据,扌,199.3531,"['扌', '手']"
星,日,720.479,['日']
奈,大,72.0247,['大']
爬,爪,71.921,['爪']
弈,廾,1.6346,['廾']
磁,石,14.8296,['石']
残,歹,93.9457,['歹']
幸,干,746.9235,['干']
停,亻,272.7951,"['人', '亻']"
失,大,654.0148,['大']
极,木,219.4123,['木']
核,木,50.163,['木']
左,工,211.8123,['工']
柱,木,13.0864,['木']
居,尸,349.4914,['尸']
傻,亻,205.679,"['人', '亻']"
智,日,158.5235,['日']
莽,艹,3.916,['艹']
惊,忄,292.3852,"['心', '忄']"
爷,父,158.237,['父']
牵,牛,70.8741,"['牜', '牛']"
切,刀,555.2889,"['刂', '刀']"
减,冫,124.5333,['冫']
死,歹,1097.5753,['歹']
角,角,263.2444,['角']
辣,辛,83.7235,['辛']
雏,隹,2.963,['隹']
灸,火,1.6988,"['火', '灬']"
姻,女,45.0173,['女']
穿,穴,323.9012,['穴']
船,舟,153.1556,['舟']
导,寸,239.5654,['寸']
丰,丨,117.4815,['丨']
页,页,120.2272,"['頁', '页']"
裤,衤,122.242,"['衣', '衤']"
亮,亠,441.8864,['亠']
吧,口,3244.4938,"['囗', '口']"
